,tair,t_heat_sp,t_heat_vip,t_slab1,tout
249,23.8,22.0,22.0,23.3,12.7
250,23.7,21.9,21.9,23.3,12.7
251,23.6,21.8,21.8,23.3,12.79999999
252,23.7,21.7,21.7,23.3,12.7
253,23.7,21.6,21.6,23.3,12.7
254,23.7,21.5,21.5,23.2,12.7
255,23.8,21.4,21.4,23.2,12.7
256,23.8,21.3,21.3,23.2,12.7
257,23.8,21.2,21.2,23.2,12.6
258,23.7,21.1,21.1,23.2,12.49999999
259,23.8,21.0,21.0,23.2,12.40000001
260,23.7,20.9,20.9,23.1,12.30000001
261,23.6,20.8,20.8,23.1,12.2
262,23.6,20.7,20.7,23.1,12.19999999
263,23.4,20.6,20.6,23.1,12.10000001
264,23.3,20.5,20.5,23.1,12.1
265,23.3,20.4,20.4,23.1,11.90000001
266,23.4,20.3,20.3,23.1,11.8
267,23.3,20.2,20.2,23.1,11.8
268,23.0,21.1,20.1,23.1,11.8
269,23.0,21.1,20.0,23.1,11.8
270,23.0,21.1,20.0,23.1,11.6
271,23.0,21.1,20.0,23.1,11.7
272,22.9,21.1,20.0,23.1,11.7
273,22.7,21.1,20.0,23.0,11.89999998
274,22.5,21.1,20.0,23.0,11.8
275,21.8,21.1,20.0,22.9,11.8
276,21.3,21.1,20.0,22.9,11.80000001
277,20.9,21.1,20.0,22.9,11.89999999
278,20.7,21.1,20.0,22.8,11.9
279,20.5,21.1,20.0,22.8,12.1
280,20.3,21.1,20.0,22.7,12.1
281,20.2,21.1,20.0,22.6,12.1
282,20.1,21.1,20.0,22.6,12.19999999
283,20.1,21.1,20.0,22.6,12.1
284,20.0,21.1,20.0,22.6,12.1
285,20.1,21.1,20.0,22.6,12.0
286,20.0,21.1,20.0,22.4,12.0
287,19.9,21.1,20.0,22.4,11.90000001
288,19.7,21.1,20.0,22.4,11.7
289,19.7,21.1,20.0,22.4,11.7
290,19.6,21.1,20.0,22.4,11.7
291,19.6,21.1,20.0,22.3,11.79999999
292,19.6,21.1,20.0,22.3,11.9
293,19.6,21.1,20.0,22.3,12.0
294,19.6,21.1,20.0,22.3,12.0
295,19.6,21.1,20.0,22.3,12.0
296,19.6,21.1,20.0,22.3,11.90000001
297,19.6,21.1,20.0,22.3,11.9
298,19.7,21.1,20.0,22.2,12.09999999
299,19.8,21.1,20.0,22.2,12.00000001
300,19.9,21.1,20.0,22.2,12.0
301,20.1,21.1,20.0,22.2,12.1
302,20.1,21.1,20.0,22.2,11.9
303,20.2,21.1,20.0,22.2,11.9
304,20.3,21.1,20.0,22.2,11.9
305,20.3,21.1,20.0,22.2,11.70000001
306,20.3,21.1,20.0,22.1,11.7
307,20.4,21.1,20.0,22.1,11.7
308,20.3,21.1,20.0,22.1,11.7
309,20.2,21.1,20.0,22.1,11.7
310,20.2,21.1,20.0,22.1,11.8
311,20.1,21.1,20.0,22.1,11.9
312,20.0,21.1,20.0,22.1,11.90000001
313,20.0,21.1,20.0,22.1,11.99999999
314,20.0,21.1,20.0,22.1,12.09999999
315,20.0,21.1,20.0,22.0,12.0
316,19.9,21.1,20.0,22.0,12.10000001
317,19.9,21.1,20.0,22.0,12.19999999
318,19.9,21.1,20.0,22.0,12.29999999
319,20.0,21.1,20.0,21.9,12.4
320,20.0,21.1,20.0,22.0,12.4
321,20.0,21.1,20.0,21.9,12.4
322,20.0,21.1,20.0,21.9,12.4
323,20.0,21.1,20.0,21.9,12.4
324,20.0,21.1,20.0,21.9,12.3
325,20.0,21.1,20.0,21.9,12.39999999
326,20.1,21.1,20.0,21.9,12.30000001
327,20.1,21.1,20.0,21.9,12.3
328,20.1,21.1,20.0,21.9,12.3
329,20.1,21.1,20.0,21.8,12.3
330,20.1,21.1,20.0,21.9,12.20000001
331,20.1,21.1,20.0,21.8,12.29999999
332,20.0,21.1,20.0,21.8,12.3
333,20.0,21.1,20.0,21.8,12.3
334,20.0,21.1,20.0,21.8,12.39999999
335,19.9,20.0,20.0,21.8,12.30000001
336,19.9,20.1,20.0,21.8,12.3
337,19.9,20.2,20.0,21.8,12.2
338,20.0,20.3,20.0,21.8,12.1
339,19.9,20.4,20.0,21.8,12.00000001
340,19.9,20.5,20.0,21.8,12.09999999
341,19.9,20.6,20.0,21.7,12.00000001
342,20.0,20.7,20.0,21.7,12.1
343,20.0,20.8,20.0,21.7,12.00000001
344,20.0,21.1,20.0,21.7,12.09999999
345,20.0,21.1,20.0,21.7,12.00000001
346,20.0,21.1,20.0,21.7,12.1
347,19.9,21.1,20.0,21.7,12.1
348,19.9,21.1,20.0,21.6,11.99999999
349,19.9,21.1,20.0,21.6,11.90000001
350,20.0,21.1,20.0,21.6,11.99999999
351,20.0,21.1,20.0,21.6,12.0
352,20.3,21.1,20.0,21.6,11.90000001
353,20.9,21.1,20.0,21.6,11.99999999
354,21.4,21.1,20.0,21.6,12.0
355,21.7,21.1,20.0,21.7,11.9
356,22.1,21.1,20.0,21.7,11.9
357,22.2,21.1,20.0,21.8,11.9
358,22.4,21.1,20.0,21.8,11.9
359,22.4,21.1,20.0,21.9,11.70000001
360,22.5,21.1,20.0,21.9,11.7
361,22.5,21.1,20.0,21.9,11.7
362,22.6,21.1,20.0,21.9,11.7
363,22.7,21.1,20.0,21.9,11.60000001
364,22.7,21.1,20.0,21.9,11.6
365,22.7,21.1,20.0,22.0,11.6
366,22.7,21.1,20.0,22.0,11.69999999
367,22.7,21.1,20.0,22.1,11.60000001
368,22.7,21.1,20.0,22.1,11.50000001
369,22.7,21.1,20.0,22.1,11.4
370,22.7,21.0,20.0,22.1,11.30000001
371,22.7,21.1,20.0,22.1,11.39999999
372,22.6,21.2,20.0,22.1,11.4
373,22.6,21.3,20.0,22.1,11.4
374,22.7,21.4,20.0,22.1,11.4
375,22.6,21.5,20.0,22.1,11.4
376,22.6,21.6,20.0,22.1,11.4
377,22.5,21.7,20.0,22.1,11.30000001
378,22.6,21.8,20.0,22.1,11.4
379,22.5,21.9,20.0,22.1,11.30000001
380,22.5,22.0,20.0,22.1,11.39999999
381,22.4,22.1,20.0,22.1,11.30000001
382,22.4,22.2,20.0,22.1,11.2
383,22.4,22.3,20.0,22.1,11.4
384,22.3,22.4,20.0,22.1,11.4
385,22.3,22.5,20.0,22.1,11.4
386,22.3,22.6,20.0,22.1,11.49999999
387,22.2,22.7,20.0,22.1,11.5
388,22.2,22.8,20.0,22.1,11.30000001
389,22.3,21.1,20.0,22.1,11.39999999
390,22.2,21.1,20.0,22.1,11.30000001
391,22.1,21.1,20.0,22.1,11.4
392,22.2,21.1,20.0,22.1,11.2
393,22.0,21.1,20.0,22.1,11.2
394,22.0,21.1,20.0,22.1,11.2
395,22.0,21.1,20.0,22.1,11.2
396,21.8,21.1,20.0,22.1,11.1
397,21.8,21.1,20.0,22.1,11.1
398,21.7,21.1,20.0,22.0,11.1
399,21.6,21.1,20.0,22.0,11.1
400,21.4,21.1,20.0,22.0,11.2
401,21.2,21.1,20.0,22.0,11.2
402,21.2,21.1,20.0,22.0,11.20000001
403,21.5,21.1,20.0,21.9,11.29999999
404,21.5,21.1,20.0,21.9,11.3
405,21.5,21.1,20.0,21.9,11.3
406,21.4,21.1,20.0,21.9,11.4
407,21.2,21.1,20.0,21.9,11.4
408,21.1,21.1,20.0,21.9,11.4
409,20.8,21.1,20.0,21.9,11.5
410,21.0,21.1,20.0,21.9,11.5
411,21.1,21.1,20.0,21.9,11.50000001
412,21.2,21.1,20.0,21.9,11.59999999
413,21.3,21.1,20.0,21.9,11.6
414,21.9,21.1,20.0,21.9,11.7
415,22.1,21.1,20.0,21.9,11.7
416,22.3,21.1,20.0,21.9,11.7
417,22.3,21.1,20.0,21.9,11.7
418,22.2,21.1,20.0,21.9,11.7
419,22.0,21.1,20.0,22.0,11.6
420,22.0,22.7,20.0,22.0,11.70000001
421,22.0,22.8,20.0,22.0,11.79999999
422,21.9,21.1,22.9,22.0,11.70000001
423,22.2,21.1,23.0,22.0,11.8
424,22.3,21.1,23.0,22.0,11.69999999
425,23.0,21.1,23.0,22.1,11.60000001
426,23.3,21.1,23.0,22.1,11.6
427,23.7,21.1,23.0,22.1,11.5
428,23.9,21.1,23.0,22.2,11.59999998
429,24.0,21.1,23.0,22.3,11.1
430,24.0,21.1,23.0,22.3,11.1
431,24.1,21.1,23.0,22.4,11.1
432,24.0,21.1,23.0,22.4,10.9
433,24.2,21.1,23.0,22.5,11.09999998
434,24.2,21.1,23.0,22.6,10.80000004
435,24.1,21.1,23.0,22.6,10.8
436,24.1,21.1,23.0,22.6,10.9
437,24.1,21.1,23.0,22.6,11.0
438,24.2,21.1,23.0,22.7,10.9
439,24.1,21.1,23.0,22.7,10.9
440,24.0,21.1,23.0,22.8,10.70000001
441,24.0,21.1,23.0,22.8,10.5
442,23.9,21.1,23.0,22.8,10.8
443,23.9,21.1,23.0,22.8,10.8
444,23.7,21.1,23.0,22.8,10.89999999
445,23.6,21.1,23.0,22.9,10.8
446,23.6,21.1,23.0,22.9,10.89999999
447,23.6,21.1,23.0,22.9,10.59999999
448,23.6,21.1,23.0,22.9,10.50000001
449,23.5,21.1,23.0,22.9,10.30000001
450,23.6,21.1,23.0,22.9,10.3
451,23.5,21.1,23.0,22.9,10.19999999
452,23.5,21.1,23.0,22.9,10.10000001
453,23.4,21.1,23.0,22.9,10.1
454,23.3,21.1,23.0,22.9,10.0
455,23.3,21.1,23.0,22.9,10.1
456,23.3,21.1,23.0,22.9,9.99999998
457,23.3,21.1,23.0,22.9,9.800000027
458,23.4,21.1,23.0,22.9,9.8
459,23.5,21.1,23.0,22.9,9.9
460,23.7,21.1,23.0,22.9,10.09999999
461,23.7,21.1,23.0,22.9,10.00000001
462,23.6,21.1,23.0,23.0,10.29999997
463,23.6,21.1,23.0,23.1,10.10000001
464,23.6,21.1,23.0,23.1,10.1
465,23.6,21.1,23.0,23.1,10.1
